Site code,HYMO  type,"Highly rheophilic, intolerant species","Rheophilic benthic species, preferring sandy-gravel bottom substrate","Rheophilic water column species, preferring sandy-gravel bottom substrate",Limnophilic benthic species of moderate tolerance,Limnophilic water column species of moderate tolerance,"Intolerant, rheophilic benthic species, preferring detritus or pelal bottom substrate","Intolerant, water column species",Limnophilic lithophilic species of moderate tolerance,Limnophilic phytophilic species of moderate tolerance,Benthic species  of moderate tolerance,Generalists - tolerant species
SE0144,6,0.857142857,0,0,0,0,0,0,0,0,0.142857143,0
SE0149,3,0.777777778,0,0,0,0,0,0,0,0,0.222222222,0
SE0150,6,0.333333333,0,0.166666667,0,0,0,0,0,0.111111111,0.388888889,0
SE0154,3,0.932038835,0,0,0,0,0,0,0,0.009708738,0.019417476,0.038834951
SE0158,6,0.192307692,0,0.807692308,0,0,0,0,0,0,0,0
SE0159,6,0.5,0,0.5,0,0,0,0,0,0,0,0
SE0160,6,1,0,0,0,0,0,0,0,0,0,0
SE0172,6,0.992673993,0,0,0,0,0,0,0,0.007326007,0,0
SE0179,6,0.92,0,0,0,0,0,0,0,0,0,0.08
SE0189,6,0.545454545,0,0.363636364,0,0,0,0,0,0.090909091,0,0
SE0195,6,0.670886076,0,0.329113924,0,0,0,0,0,0,0,0
SE0196,6,0.833333333,0,0.111111111,0,0,0,0,0,0,0.055555556,0
SE0198,6,0.268656716,0,0.686567164,0,0,0,0,0,0.029850746,0.014925373,0
SE0203,6,0.754716981,0,0.245283019,0,0,0,0,0,0,0,0
SE0204,6,0.37254902,0,0.62745098,0,0,0,0,0,0,0,0
SE0208,1,1,0,0,0,0,0,0,0,0,0,0
SE0230,6,0,0,0,0,0,0,0.894736842,0,0,0,0.105263158
SE0231,6,1,0,0,0,0,0,0,0,0,0,0
SE0242,6,0.016129032,0,0,0,0,0,0.983870968,0,0,0,0
SE0257,6,0.005952381,0,0,0,0,0,0.988095238,0,0,0,0.005952381
SE0265,6,0.989130435,0,0,0,0,0,0,0,0.010869565,0,0
SE0266,6,1,0,0,0,0,0,0,0,0,0,0
SE0267,6,0.996168582,0,0.003831418,0,0,0,0,0,0,0,0
SE0273,3,0.99378882,0,0,0,0,0,0,0,0,0,0.00621118
SE0284,6,0.388888889,0,0.444444444,0,0,0,0,0,0.055555556,0,0.111111111
SE0309,6,0.764705882,0,0.235294118,0,0,0,0,0,0,0,0
SE0330,5,0.061728395,0,0,0,0,0,0.938271605,0,0,0,0
SE0344,5,0.470588235,0,0.529411765,0,0,0,0,0,0,0,0
SE0348,6,1,0,0,0,0,0,0,0,0,0,0
SE0349,6,0.941176471,0,0,0,0,0.011764706,0,0,0,0,0.047058824
SE0353,5,0,0,0.357142857,0,0,0,0.642857143,0,0,0,0
SE0354,5,0,0,0.088888889,0,0,0,0.911111111,0,0,0,0
SE0401,5,1,0,0,0,0,0,0,0,0,0,0
SE0402,5,1,0,0,0,0,0,0,0,0,0,0
SE0403,5,0.909090909,0,0,0,0,0,0,0,0,0.090909091,0
SE0405,5,0.382352941,0,0,0,0,0,0.617647059,0,0,0,0
SE0406,13,1,0,0,0,0,0,0,0,0,0,0
SE0407,13,1,0,0,0,0,0,0,0,0,0,0
SE0409,13,1,0,0,0,0,0,0,0,0,0,0
SE0433,5,1,0,0,0,0,0,0,0,0,0,0
SE0445,5,1,0,0,0,0,0,0,0,0,0,0
SE0447,5,1,0,0,0,0,0,0,0,0,0,0
SE0448,5,0.794117647,0,0.18627451,0,0,0,0,0,0,0.019607843,0
SE0455,5,1,0,0,0,0,0,0,0,0,0,0
SE0456,5,1,0,0,0,0,0,0,0,0,0,0
SE0459,5,1,0,0,0,0,0,0,0,0,0,0
SE0460,5,1,0,0,0,0,0,0,0,0,0,0
SE0461,5,1,0,0,0,0,0,0,0,0,0,0
SE0464,5,1,0,0,0,0,0,0,0,0,0,0
SE0465,5,1,0,0,0,0,0,0,0,0,0,0
SE0468,5,1,0,0,0,0,0,0,0,0,0,0
SE0469,5,1,0,0,0,0,0,0,0,0,0,0
SE0470,5,1,0,0,0,0,0,0,0,0,0,0
SE0471,5,1,0,0,0,0,0,0,0,0,0,0
SE0472,5,0.902912621,0,0.087378641,0,0,0.009708738,0,0,0,0,0
SE0473,5,1,0,0,0,0,0,0,0,0,0,0
SE0479,5,1,0,0,0,0,0,0,0,0,0,0
SE0480,5,1,0,0,0,0,0,0,0,0,0,0
SE0488,5,1,0,0,0,0,0,0,0,0,0,0
SE0489,5,0.474576271,0,0,0,0,0.016949153,0.508474576,0,0,0,0
SE0495,5,1,0,0,0,0,0,0,0,0,0,0
SE0501,5,1,0,0,0,0,0,0,0,0,0,0
SE0510,14,1,0,0,0,0,0,0,0,0,0,0
SE0513,5,0,0,0.016129032,0,0,0,0.983870968,0,0,0,0
SE0518,5,1,0,0,0,0,0,0,0,0,0,0
SE0519,5,0.018018018,0,0,0,0,0,0.981981982,0,0,0,0
SE0520,5,0.00248139,0,0,0,0,0,0.99751861,0,0,0,0
SE0521,5,0.039772727,0,0,0,0,0,0.960227273,0,0,0,0
SE0528,5,1,0,0,0,0,0,0,0,0,0,0
SE0530,5,1,0,0,0,0,0,0,0,0,0,0
SE0533,5,0.6,0,0.4,0,0,0,0,0,0,0,0
SE0538,5,0.952380952,0,0,0,0,0,0,0,0,0.047619048,0
SE0539,5,0.990740741,0,0,0,0,0,0,0,0,0,0.009259259
SE0540,5,0.921052632,0,0,0,0,0,0,0,0.026315789,0.052631579,0
SE0541,5,1,0,0,0,0,0,0,0,0,0,0
SE0542,5,0.647959184,0,0.352040816,0,0,0,0,0,0,0,0
SE0543,5,1,0,0,0,0,0,0,0,0,0,0
SE0544,5,1,0,0,0,0,0,0,0,0,0,0
SE0545,5,0.956521739,0,0,0,0,0,0,0,0.043478261,0,0
SE0552,5,0.9375,0,0.0625,0,0,0,0,0,0,0,0
SE0553,5,0.631578947,0,0.368421053,0,0,0,0,0,0,0,0
SE0556,5,0.8125,0,0.0625,0,0,0,0,0,0,0.125,0
SE0558,5,0.98,0,0,0,0,0,0,0,0,0,0.02
SE0565,13,0.5,0,0.5,0,0,0,0,0,0,0,0
SE0566,13,0.617647059,0,0.323529412,0,0,0,0,0,0,0.058823529,0
SE0567,5,0.867647059,0,0.117647059,0,0,0,0,0,0,0.014705882,0
SE0570,5,0.977272727,0,0,0,0,0,0,0,0.022727273,0,0
SE0582,5,1,0,0,0,0,0,0,0,0,0,0
